Freq(MHz)	Sens(dB re. 1V/uPa)	Sens(V/Pa)	Sens(V^2cm^2/W)	Cap(pF)
0.25	-257.93	1.270E-07	2.42E-04	213.289
0.3	-256.08	1.570E-07	3.70E-04	213.041
0.35	-255.81	1.621E-07	3.94E-04	212.798
0.4	-255.15	1.748E-07	4.58E-04	212.563
0.45	-254.65	1.852E-07	5.14E-04	212.335
0.5	-254.76	1.829E-07	5.02E-04	212.114
0.55	-254.58	1.866E-07	5.22E-04	211.899
0.6	-254.58	1.865E-07	5.22E-04	211.692
0.65	-254.5	1.884E-07	5.32E-04	211.491
0.7	-254.5	1.884E-07	5.33E-04	211.296
0.75	-254.86	1.806E-07	4.89E-04	211.109
0.8	-255	1.777E-07	4.74E-04	210.927
0.85	-255.59	1.661E-07	4.14E-04	210.752
0.9	-255.82	1.618E-07	3.93E-04	210.583
0.95	-256.53	1.490E-07	3.33E-04	210.42
1	-257.27	1.369E-07	2.81E-04	210.264
1	-257.04	1.406E-07	2.97E-04	208.266
1.05	-258.27	1.221E-07	2.24E-04	208.118
1.1	-259.41	1.071E-07	1.72E-04	207.977
1.15	-260.01	9.991E-08	1.50E-04	207.841
1.2	-260.49	9.454E-08	1.34E-04	207.711
1.25	-260.72	9.207E-08	1.27E-04	207.587
1.3	-260.61	9.318E-08	1.30E-04	207.469
1.35	-260.09	9.902E-08	1.47E-04	207.356
1.4	-259.66	1.040E-07	1.62E-04	207.249
1.45	-259.01	1.120E-07	1.88E-04	207.148
1.5	-258.54	1.183E-07	2.10E-04	207.052
1.55	-258.41	1.200E-07	2.16E-04	206.961
1.6	-258.07	1.249E-07	2.34E-04	206.875
1.65	-257.59	1.320E-07	2.61E-04	206.795
1.7	-257.15	1.388E-07	2.89E-04	206.719
1.75	-256.64	1.472E-07	3.25E-04	206.649
1.8	-256.62	1.476E-07	3.27E-04	206.583
1.85	-256.54	1.490E-07	3.33E-04	206.523
1.9	-256.28	1.535E-07	3.54E-04	206.467
1.95	-256.49	1.498E-07	3.37E-04	206.419
2	-257.39	1.350E-07	2.73E-04	206.376
2.05	-258.4	1.202E-07	2.17E-04	206.333
2.1	-259.11	1.108E-07	1.84E-04	206.293
2.15	-258.71	1.160E-07	2.02E-04	206.261
2.2	-258.45	1.195E-07	2.14E-04	206.233
2.25	-258.57	1.179E-07	2.08E-04	206.209
2.3	-258.51	1.187E-07	2.11E-04	206.19
2.35	-258.47	1.192E-07	2.13E-04	206.176
2.4	-258.6	1.175E-07	2.07E-04	206.166
2.45	-258.55	1.182E-07	2.10E-04	206.16
2.5	-258.3	1.216E-07	2.22E-04	206.158
2.55	-258.14	1.239E-07	2.30E-04	206.161
2.6	-258.21	1.230E-07	2.27E-04	206.167
2.65	-258.04	1.253E-07	2.36E-04	206.178
2.7	-258.09	1.246E-07	2.33E-04	206.192
2.75	-257.74	1.297E-07	2.52E-04	206.21
2.8	-258.08	1.247E-07	2.33E-04	206.232
2.85	-258.1	1.245E-07	2.32E-04	206.258
2.9	-257.9	1.274E-07	2.43E-04	206.288
2.95	-257.79	1.289E-07	2.49E-04	206.321
3	-257.82	1.286E-07	2.48E-04	206.358
3.05	-257.92	1.271E-07	2.42E-04	206.398
3.1	-257.89	1.275E-07	2.44E-04	206.442
3.15	-257.7	1.303E-07	2.55E-04	206.49
3.2	-257.63	1.314E-07	2.59E-04	206.54
3.25	-257.92	1.270E-07	2.42E-04	206.595
3.3	-258.25	1.223E-07	2.24E-04	206.652
3.35	-258.23	1.226E-07	2.25E-04	206.713
3.4	-258.13	1.240E-07	2.31E-04	206.777
3.45	-258.15	1.237E-07	2.30E-04	206.844
3.5	-258.54	1.183E-07	2.10E-04	206.914
3.55	-258.87	1.140E-07	1.95E-04	206.988
3.6	-258.81	1.147E-07	1.97E-04	207.064
3.65	-258.66	1.167E-07	2.04E-04	207.144
3.7	-258.35	1.209E-07	2.19E-04	207.226
3.75	-258.46	1.194E-07	2.14E-04	207.312
3.8	-258.28	1.220E-07	2.23E-04	207.4
3.85	-257.88	1.276E-07	2.44E-04	207.491
3.9	-257.73	1.299E-07	2.53E-04	207.585
3.95	-257.29	1.367E-07	2.80E-04	207.682
4	-257.37	1.354E-07	2.75E-04	207.782
4.05	-256.92	1.425E-07	3.05E-04	207.884
4.1	-256.85	1.438E-07	3.10E-04	207.989
4.15	-256.75	1.454E-07	3.17E-04	208.096
4.2	-256.49	1.497E-07	3.36E-04	208.206
4.25	-256.45	1.505E-07	3.40E-04	208.319
4.3	-256.87	1.433E-07	3.08E-04	208.434
4.35	-257.01	1.411E-07	2.99E-04	208.552
4.4	-257.14	1.391E-07	2.90E-04	208.672
4.45	-257.21	1.379E-07	2.85E-04	208.794
4.5	-257.33	1.360E-07	2.78E-04	208.919
4.55	-257.53	1.329E-07	2.65E-04	209.046
4.6	-257.53	1.329E-07	2.65E-04	209.176
4.65	-257.47	1.338E-07	2.69E-04	209.308
4.7	-257.54	1.327E-07	2.64E-04	209.442
4.75	-257.66	1.309E-07	2.57E-04	209.578
4.8	-257.49	1.336E-07	2.68E-04	209.716
4.85	-257.37	1.354E-07	2.75E-04	209.857
4.9	-257.34	1.358E-07	2.77E-04	209.999
4.95	-257.2	1.380E-07	2.86E-04	210.144
5	-257.02	1.409E-07	2.98E-04	210.291
5.05	-256.84	1.438E-07	3.10E-04	210.44
5.1	-256.72	1.458E-07	3.19E-04	210.591
5.15	-256.54	1.489E-07	3.32E-04	210.743
5.2	-256.34	1.524E-07	3.48E-04	210.898
5.25	-256.29	1.533E-07	3.53E-04	211.055
5.3	-256.32	1.528E-07	3.50E-04	211.214
5.35	-256.29	1.533E-07	3.53E-04	211.374
5.4	-256.27	1.536E-07	3.54E-04	211.537
5.45	-256.18	1.552E-07	3.61E-04	211.701
5.5	-256.29	1.533E-07	3.53E-04	211.867
5.55	-256.35	1.522E-07	3.47E-04	212.035
5.6	-256.58	1.482E-07	3.30E-04	212.204
5.65	-256.61	1.477E-07	3.27E-04	212.376
5.7	-256.63	1.475E-07	3.26E-04	212.549
5.75	-256.7	1.463E-07	3.21E-04	212.724
5.8	-256.98	1.416E-07	3.01E-04	212.901
5.85	-256.75	1.454E-07	3.17E-04	213.079
5.9	-256.87	1.434E-07	3.09E-04	213.259
5.95	-257.02	1.410E-07	2.98E-04	213.441
6	-256.8	1.446E-07	3.13E-04	213.624
6.05	-257.12	1.393E-07	2.91E-04	213.809
6.1	-257.19	1.382E-07	2.87E-04	213.996
6.15	-257.24	1.374E-07	2.83E-04	214.184
6.2	-257.35	1.357E-07	2.76E-04	214.374
6.25	-256.81	1.444E-07	3.13E-04	214.565
6.3	-256.79	1.447E-07	3.14E-04	214.758
6.35	-256.97	1.417E-07	3.01E-04	214.952
6.4	-256.72	1.459E-07	3.19E-04	215.148
6.45	-256.68	1.465E-07	3.22E-04	215.346
6.5	-256.72	1.459E-07	3.19E-04	215.545
6.55	-256.74	1.456E-07	3.18E-04	215.745
6.6	-256.87	1.434E-07	3.09E-04	215.947
6.65	-256.56	1.486E-07	3.31E-04	216.151
6.7	-256.62	1.476E-07	3.27E-04	216.356
6.75	-256.64	1.472E-07	3.25E-04	216.563
6.8	-256.57	1.485E-07	3.31E-04	216.77
6.85	-256.66	1.469E-07	3.24E-04	216.98
6.9	-256.54	1.489E-07	3.33E-04	217.191
6.95	-256.61	1.478E-07	3.28E-04	217.403
7	-256.57	1.484E-07	3.30E-04	217.617
7.05	-256.6	1.479E-07	3.28E-04	217.832
7.1	-256.72	1.459E-07	3.19E-04	218.049
7.15	-256.59	1.481E-07	3.29E-04	218.267
7.2	-256.59	1.481E-07	3.29E-04	218.486
7.25	-256.62	1.476E-07	3.27E-04	218.707
7.3	-256.61	1.477E-07	3.27E-04	218.93
7.35	-256.47	1.501E-07	3.38E-04	219.154
7.4	-256.42	1.510E-07	3.42E-04	219.379
7.45	-256.45	1.505E-07	3.40E-04	219.606
7.5	-256.37	1.519E-07	3.46E-04	219.834
7.55	-256.3	1.530E-07	3.51E-04	220.063
7.6	-256.38	1.517E-07	3.45E-04	220.294
7.65	-256.37	1.519E-07	3.46E-04	220.527
7.7	-256.17	1.554E-07	3.62E-04	220.761
7.75	-256.19	1.550E-07	3.61E-04	220.996
7.8	-256.12	1.563E-07	3.67E-04	221.233
7.85	-256.2	1.549E-07	3.60E-04	221.471
7.9	-256.29	1.533E-07	3.52E-04	221.711
7.95	-256.26	1.538E-07	3.55E-04	221.952
8	-256.24	1.542E-07	3.56E-04	222.195
8.05	-256.25	1.539E-07	3.56E-04	222.439
8.1	-256.42	1.510E-07	3.42E-04	222.685
8.15	-256.3	1.531E-07	3.52E-04	222.932
8.2	-256.46	1.504E-07	3.39E-04	223.181
8.25	-256.35	1.522E-07	3.48E-04	223.432
8.3	-256.41	1.512E-07	3.43E-04	223.683
8.35	-256.31	1.529E-07	3.51E-04	223.937
8.4	-256.48	1.499E-07	3.37E-04	224.192
8.45	-256.44	1.506E-07	3.40E-04	224.449
8.5	-256.36	1.520E-07	3.47E-04	224.707
8.55	-256.28	1.535E-07	3.53E-04	224.966
8.6	-256.37	1.519E-07	3.46E-04	225.228
8.65	-256.29	1.532E-07	3.52E-04	225.491
8.7	-256.35	1.523E-07	3.48E-04	225.756
8.75	-256.28	1.535E-07	3.53E-04	226.022
8.8	-256.17	1.553E-07	3.62E-04	226.29
8.85	-256.19	1.551E-07	3.61E-04	226.56
8.9	-256.32	1.528E-07	3.50E-04	226.831
8.95	-256.05	1.575E-07	3.72E-04	227.105
9	-256.04	1.577E-07	3.73E-04	227.379
9.05	-256.05	1.576E-07	3.73E-04	227.656
9.1	-256.02	1.581E-07	3.75E-04	227.935
9.15	-256.09	1.569E-07	3.69E-04	228.215
9.2	-255.96	1.592E-07	3.80E-04	228.497
9.25	-255.88	1.606E-07	3.87E-04	228.782
9.3	-255.85	1.613E-07	3.90E-04	229.068
9.35	-256.01	1.583E-07	3.76E-04	229.355
9.4	-255.78	1.625E-07	3.96E-04	229.645
9.45	-255.7	1.640E-07	4.04E-04	229.937
9.5	-255.88	1.606E-07	3.87E-04	230.231
9.55	-255.66	1.648E-07	4.07E-04	230.527
9.6	-255.81	1.620E-07	3.94E-04	230.824
9.65	-255.57	1.665E-07	4.16E-04	231.124
9.7	-255.64	1.652E-07	4.09E-04	231.426
9.75	-255.84	1.614E-07	3.91E-04	231.73
9.8	-255.83	1.617E-07	3.92E-04	232.037
9.85	-255.89	1.604E-07	3.86E-04	232.345
9.9	-255.66	1.647E-07	4.07E-04	232.656
9.95	-255.7	1.641E-07	4.04E-04	232.969
10	-255.71	1.639E-07	4.03E-04	233.284
10.05	-255.81	1.621E-07	3.94E-04	233.601
10.1	-255.92	1.600E-07	3.84E-04	233.921
10.15	-255.98	1.589E-07	3.79E-04	234.243
10.2	-256.08	1.570E-07	3.70E-04	234.568
10.25	-255.8	1.621E-07	3.94E-04	234.895
10.3	-255.88	1.608E-07	3.88E-04	235.224
10.35	-256	1.584E-07	3.77E-04	235.556
10.4	-255.96	1.593E-07	3.80E-04	235.89
10.45	-255.82	1.619E-07	3.93E-04	236.227
10.5	-255.95	1.594E-07	3.81E-04	236.567
10.55	-256.01	1.583E-07	3.76E-04	236.909
10.6	-255.98	1.589E-07	3.79E-04	237.254
10.65	-255.88	1.607E-07	3.87E-04	237.602
10.7	-255.95	1.594E-07	3.81E-04	237.952
10.75	-255.97	1.591E-07	3.80E-04	238.306
10.8	-256.01	1.583E-07	3.76E-04	238.662
10.85	-255.9	1.604E-07	3.86E-04	239.021
10.9	-255.92	1.600E-07	3.84E-04	239.382
10.95	-255.96	1.593E-07	3.81E-04	239.747
11	-255.83	1.617E-07	3.92E-04	240.115
11.05	-255.95	1.594E-07	3.81E-04	240.486
11.1	-256.1	1.566E-07	3.68E-04	240.86
11.15	-256.03	1.579E-07	3.74E-04	241.237
11.2	-256.08	1.570E-07	3.70E-04	241.617
11.25	-255.92	1.599E-07	3.83E-04	242.001
11.3	-256.1	1.567E-07	3.68E-04	242.388
11.35	-255.94	1.596E-07	3.82E-04	242.778
11.4	-256.11	1.565E-07	3.67E-04	243.171
11.45	-256.05	1.576E-07	3.73E-04	243.568
11.5	-256.02	1.581E-07	3.75E-04	243.968
11.55	-255.97	1.591E-07	3.80E-04	244.372
11.6	-256	1.585E-07	3.77E-04	244.78
11.65	-256.05	1.576E-07	3.72E-04	245.191
11.7	-256.09	1.569E-07	3.69E-04	245.605
11.75	-256.27	1.537E-07	3.55E-04	246.024
11.8	-256.14	1.560E-07	3.65E-04	246.446
11.85	-256.29	1.532E-07	3.52E-04	246.872
11.9	-256.33	1.525E-07	3.49E-04	247.302
11.95	-256.43	1.509E-07	3.42E-04	247.736
12	-256.45	1.505E-07	3.40E-04	248.173
12.05	-256.23	1.544E-07	3.57E-04	248.615
12.1	-256.3	1.532E-07	3.52E-04	249.061
12.15	-256.35	1.523E-07	3.48E-04	249.511
12.2	-256.35	1.523E-07	3.48E-04	249.965
12.25	-256.33	1.525E-07	3.49E-04	250.424
12.3	-256.45	1.506E-07	3.40E-04	250.886
12.35	-256.55	1.487E-07	3.32E-04	251.353
12.4	-256.53	1.490E-07	3.33E-04	251.825
12.45	-256.49	1.498E-07	3.37E-04	252.301
12.5	-256.63	1.474E-07	3.26E-04	252.782
12.55	-256.66	1.469E-07	3.24E-04	253.267
12.6	-256.49	1.498E-07	3.37E-04	253.757
12.65	-256.6	1.479E-07	3.28E-04	254.251
12.7	-256.68	1.465E-07	3.22E-04	254.751
12.75	-256.62	1.476E-07	3.27E-04	255.255
12.8	-256.75	1.453E-07	3.17E-04	255.764
12.85	-256.77	1.450E-07	3.15E-04	256.278
12.9	-256.9	1.429E-07	3.06E-04	256.797
12.95	-256.87	1.433E-07	3.08E-04	257.322
13	-256.93	1.424E-07	3.04E-04	257.852
13.05	-256.83	1.440E-07	3.11E-04	258.386
13.1	-257.07	1.402E-07	2.95E-04	258.926
13.15	-257.05	1.404E-07	2.96E-04	259.472
13.2	-257.19	1.382E-07	2.87E-04	260.022
13.25	-256.92	1.426E-07	3.05E-04	260.579
13.3	-256.95	1.421E-07	3.03E-04	261.141
13.35	-257.08	1.399E-07	2.94E-04	261.709
13.4	-257.21	1.379E-07	2.85E-04	262.282
13.45	-257.12	1.394E-07	2.91E-04	262.861
13.5	-257.09	1.399E-07	2.93E-04	263.446
13.55	-257.2	1.380E-07	2.86E-04	264.037
13.6	-257.43	1.344E-07	2.71E-04	264.634
13.65	-257.41	1.347E-07	2.72E-04	265.237
13.7	-257.47	1.338E-07	2.69E-04	265.846
13.75	-257.37	1.354E-07	2.75E-04	266.462
13.8	-257.63	1.313E-07	2.59E-04	267.084
13.85	-257.39	1.351E-07	2.74E-04	267.713
13.9	-257.57	1.322E-07	2.62E-04	268.347
13.95	-257.65	1.311E-07	2.58E-04	268.989
14	-257.64	1.313E-07	2.59E-04	269.637
14.05	-257.66	1.309E-07	2.57E-04	270.292
14.1	-257.82	1.286E-07	2.48E-04	270.953
14.15	-257.89	1.276E-07	2.44E-04	271.621
14.2	-257.85	1.281E-07	2.46E-04	272.297
14.25	-257.84	1.283E-07	2.47E-04	272.979
14.3	-257.89	1.275E-07	2.44E-04	273.668
14.35	-258.08	1.248E-07	2.34E-04	274.365
14.4	-258.21	1.228E-07	2.26E-04	275.068
14.45	-258.01	1.258E-07	2.37E-04	275.779
14.5	-257.97	1.264E-07	2.40E-04	276.498
14.55	-258.01	1.258E-07	2.37E-04	277.224
14.6	-258.05	1.252E-07	2.35E-04	277.957
14.65	-258.3	1.217E-07	2.22E-04	278.698
14.7	-258.38	1.205E-07	2.18E-04	279.447
14.75	-258.37	1.206E-07	2.18E-04	280.204
14.8	-258.42	1.199E-07	2.16E-04	280.968
14.85	-258.37	1.206E-07	2.18E-04	281.741
14.9	-258.35	1.209E-07	2.19E-04	282.521
14.95	-258.2	1.231E-07	2.27E-04	283.311
