Freq(MHz)	Sens(dB re. 1V/uPa)	Sens(V/Pa)	Sens(V^2cm^2/W)	Cap(pF)
 0.250	 -257.93	  1.270E-007	2.418E-004	    213.289
 0.300	 -256.08	  1.570E-007	3.695E-004	    213.041
 0.350	 -255.81	  1.621E-007	3.939E-004	    212.798
 0.400	 -255.15	  1.748E-007	4.582E-004	    212.563
 0.450	 -254.65	  1.852E-007	5.144E-004	    212.335
 0.500	 -254.76	  1.829E-007	5.016E-004	    212.114
 0.550	 -254.58	  1.866E-007	5.223E-004	    211.899
 0.600	 -254.58	  1.865E-007	5.219E-004	    211.692
 0.650	 -254.50	  1.884E-007	5.324E-004	    211.491
 0.700	 -254.50	  1.884E-007	5.325E-004	    211.296
 0.750	 -254.86	  1.806E-007	4.894E-004	    211.109
 0.800	 -255.00	  1.777E-007	4.739E-004	    210.927
 0.850	 -255.59	  1.661E-007	4.141E-004	    210.752
 0.900	 -255.82	  1.618E-007	3.928E-004	    210.583
 0.950	 -256.53	  1.490E-007	3.332E-004	    210.420
 1.000	 -257.27	  1.369E-007	2.810E-004	    210.264
